iso3	country	join_status	lang_code	language_english	language_autonym	script	competing_languages	join_note	01_pain_term	01_pain_english	01_pain_mark	02_hurt_term	02_hurt_english	02_hurt_mark	03_eco_anxiety_term	03_eco_anxiety_english	03_eco_anxiety_mark	04_uncertainty_term	04_uncertainty_english	04_uncertainty_mark	05_grief_term	05_grief_english	05_grief_mark	06_anger_term	06_anger_english	06_anger_mark	07_hardship_term	07_hardship_english	07_hardship_mark	08_displacement_term	08_displacement_english	08_displacement_mark	09_trauma_term	09_trauma_english	09_trauma_mark	10_loneliness_term	10_loneliness_english	10_loneliness_mark	11_depression_term	11_depression_english	11_depression_mark	12_fear_term	12_fear_english	12_fear_mark	13_helplessness_term	13_helplessness_english	13_helplessness_mark	14_shame_term	14_shame_english	14_shame_mark	15_no_pain_term	15_no_pain_english	15_no_pain_mark	labels	gaps	exact_F	broader_or_narrower_E
AZE	Azerbaijan	SETTLED	az	Azerbaijani	azərbaycan	Latn			fiziki ağrı	physical pain	F	kədər	sorrow; sadness	E	iqlim narahatlığı	climate anxiety; climate worry	F	qeyri-müəyyənlik	uncertainty; indefiniteness	F	yas	mourning	E	qəzəb	anger; rage	E	məhrumiyyət	deprivation; privation	E	didərginlik	exile; wandering; homelessness	E	travma	trauma	E	tənhalıq	loneliness; solitude	E	depressiya	depression	F	qorxu	fear	E	çarəsizlik	helplessness; desperation	E	utanc	shame	E	ağrı yoxdur	there is no pain	F	15	0	5	10
BHS	Bahamas	SETTLED	en	English		Latn			Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
BHR	Bahrain	SETTLED	ar	Arabic	العربية	Arab		Variety: Gulf Arabic vs MSA.	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
BGD	Bangladesh	SETTLED	bn	Bengali	বাংলা	Beng			শারীরিক ব্যথা	physical pain	F	কষ্ট	suffering; pain; hardship	E	জলবায়ু উদ্বেগ	climate anxiety	F	অনিশ্চয়তা	uncertainty	F	শোক	grief; mourning	E	ক্ষোভ	resentment; indignation; anger	E	অভাব	lack; want; shortage	E	বাস্তুচ্যুতি	displacement from home	F	মানসিক আঘাত	psychological trauma	F	একাকীত্ব	loneliness; solitude	E	বিষণ্নতা	depression; melancholy	F	ভয়	fear	E	অসহায়ত্ব	helplessness	F	লজ্জা	shame; modesty; embarrassment	E	ব্যথা নেই	there is no pain	F	15	0	8	7
BRB	Barbados	SETTLED	en	English		Latn			Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
BLR	Belarus	OPEN	be	Belarusian	беларуская	Cyrl	Russian (ru)	Russian dominates actual public and domestic use; Belarusian is the titular language.	фізічны боль	physical pain; bodily hurt	F	душэўны боль	inner pain; heartache; mental anguish	C	экатрывога	eco-anxiety	F	няпэўнасць	uncertainty, indefiniteness	E	смутак	grief, mourning, sadness, sorrow	E	гнеў	anger; wrath; indignation	E	нястача	shortage; want; poverty	E	выгнанне	exile; banishment; expulsion	E	псіхалагічная траўма	psychological trauma	F	адзінота	loneliness; solitude	E	дэпрэсія	depression	E	страх	fear; fright; dread	E	бездапаможнасць	helplessness; powerlessness	F	сорам	shame; embarrassment	E	без болю	without pain	F	15	0	5	9
BEL	Belgium	OPEN	nl	Dutch	Nederlands	Latn	French (fr); German (de)	Roughly 60/40 Dutch/French. No single national language.	lichamelijke pijn	physical pain	F	emotionele pijn	emotional pain	F	klimaatangst	climate fear/anxiety	E	onzekerheid	uncertainty; insecurity	E	rouw	mourning; grief	E	verontwaardiging	indignation; outrage	E	financiële onzekerheid	financial insecurity	E	ballingschap	exile	E	overbelasting	overload	E	eenzaamheid	loneliness; solitude	E	depressie	depression	E	angst	fear/anxiety	E	machteloosheid	powerlessness	F	schaamte	shame	E	zonder lijden	without suffering	F	15	0	4	11
BLZ	Belize	REVIEW	en	English		Latn	Spanish (es); Belize Kriol (bzj)	English is official and spoken by about 76%. Belize collects no mother-tongue census variable, so no language can be called the largest L1 from official data.	Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
BEN	Benin	REVIEW	fr	French	français	Latn	Fon (fon); Yoruba (yo)	French is the sole official language but a minority L1.	douleur physique	physical pain	F	douleur émotionnelle	emotional pain	F	éco-anxiété	eco-anxiety	E	incertitude	uncertainty	F	deuil	bereavement / mourning / grief	E	indignation	indignation / moral outrage	E	précarité	precarity / insecurity	E	déracinement	uprooting	F	traumatisme	trauma	E	solitude	loneliness	E	dépression	depression	F	angoisse	anguish / fear / anxiety	E	sentiment d'impuissance	feeling of helplessness	F	honte	shame	E	absence de détresse	absence of distress	E	15	0	6	9
BTN	Bhutan	OPEN	dz	Dzongkha	རྫོང་ཁ	Tibt	Tshangla (tsj); Nepali (ne)	Dzongkha is the national language but L1 for only roughly 24-28%, matched by Tshangla and close to Nepali. Estimates conflict and no consolidated census breakdown exists.	ཟུག	Pain	E	སེམས་ཕམ	Hurt	E		Eco-anxiety	X	ཡིད་གཉིས	doubt, uncertainty	E	མྱ་ངན	grief; mourning	F	ཁོང་ཁྲོ	anger, rage, fury, resentment	E	དབུལ་ཕོངས	poverty, destitution, misery, ruin	E	མཐར་བཤུད	exile; deportation	P	སེམས་ནད་ཕོག་པ	trauma	P	དབེན་པ	Loneliness	E	བློ་ཕམ་ཡིད་ཕམ	depression; disappointment and dejection	E	འཇིགས་སྣང	Fear	E	ཐབས་ཆག	desperation; helplessness	P	ཁྲེལ	guilt and shame	E	ཟུག་མེད	pain does not exist	F	14	1	2	9
BOL	Bolivia	OPEN	es	Spanish	español	Latn	Quechua (qu); Aymara (ay)	36 official languages; large indigenous-language populations.	dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
BIH	Bosnia and Herzegovina	OPEN	bs	Bosnian	bosanski	Latn	Serbian (sr); Croatian (hr)	Three co-official standards of one pluricentric language.	fizička bol	physical pain	F	tuga	sadness; sorrow	E	klimatska anksioznost	climate anxiety	F	neizvjesnost	uncertainty	F	žalost	grief; sorrow	E	ogorčenje	indignation; bitterness; outrage	E	oskudica	scarcity; privation; want	F	raseljenost	displacement; state of being displaced	F	trauma	trauma	E	usamljenost	loneliness	F	depresija	depression	F	strah	fear	E	bespomoćnost	helplessness	F	sram	shame	E	bez bola	without pain	F	15	0	9	6
BWA	Botswana	REVIEW	tn	Setswana		Latn	English (en)	Setswana is L1 for ~80%; English is the official written language.	botlhoko	pain	E	bohutsana	sadness; great grief	E		Eco-anxiety	X	pelaelo	doubt; suspicion	E	khutsafalo	grief; sorrow	E	bogale	anger	E	lehuma	poverty	E	mofaladi	an exile; a refugee	E	trauma	trauma	F	bodutu	loneliness; solitude	E	Ngodiego	depression	F	poifo	fear	E		Helplessness	X	ditlhong	shame	E	Setlhabi sepe	no pain	F	13	2	3	10
BRA	Brazil	SETTLED	pt	Portuguese	português	Latn		Variety: Brazilian Portuguese, distinct from European.	dor física	physical pain	F	sofrimento emocional	emotional suffering	F	ansiedade climática	climate anxiety	E	incerteza	uncertainty	E	luto	mourning; bereavement	E	indignação	indignation	E	insegurança material	material insecurity	E	exílio	exile	E	sobrecarga emocional	emotional overload	E	solidão	loneliness; solitude	E	depressão	depression	E	medo	fear	E	impotência	powerlessness	E	vergonha	shame	E	sem sofrimento	without suffering	F	15	0	3	12
BRN	Brunei	SETTLED	ms	Malay	bahasa Malaysia	Latn			sakit badan	bodily pain/ache	F	penderitaan emosi	emotional suffering	F	kebimbangan iklim	climate worry/anxiety	E	ketidakpastian	uncertainty	E	perkabungan	mourning; bereavement	E	kemarahan kerana ketidakadilan	anger because of injustice	E	kebimbangan kewangan	financial worry/anxiety	E	perpindahan paksa	forced migration/relocation	E	beban emosi	emotional burden	E	kesunyian	loneliness; solitude/quietness	E	kemurungan	depression; gloom	E	ketakutan	fear	E	rasa tidak berdaya	feeling powerless	E	malu	shame/embarrassment	E	tanpa penderitaan	without suffering	F	15	0	3	12
BGR	Bulgaria	SETTLED	bg	Bulgarian	български	Cyrl			физическа болка	physical pain; bodily hurt	F	душевна болка	inner pain; heartache; mental anguish	F	екотревожност	eco-anxiety; worry or anxiety caused by climate change and environmental threats	F	несигурност	uncertainty, insecurity, suspense, diffidence	E	скръб	grief, sorrow, dolefulness	E	възмущение	indignation; outrage; angry disapproval	E	недоимък	privation; want; poverty; lack of means	E	изгнание	exile; forced or voluntary departure from one’s homeland	F	психична травма	psychological trauma	F	самота	loneliness; solitude; aloneness	E	депресия	depression; depressive state; also non-mental domain senses	E	страх	fear; fright; dread	E	безпомощност	helplessness; powerlessness; inability to help oneself	E	срам	shame	E	без болка	without pain	F	15	0	6	9
BFA	Burkina Faso	REVIEW	fr	French	français	Latn	Mooré (mos); Dioula (dyu)	French official; Mooré is the largest L1.	douleur physique	physical pain	F	douleur émotionnelle	emotional pain	F	éco-anxiété	eco-anxiety	E	incertitude	uncertainty	F	deuil	bereavement / mourning / grief	E	indignation	indignation / moral outrage	E	précarité	precarity / insecurity	E	déracinement	uprooting	F	traumatisme	trauma	E	solitude	loneliness	E	dépression	depression	F	angoisse	anguish / fear / anxiety	E	sentiment d'impuissance	feeling of helplessness	F	honte	shame	E	absence de détresse	absence of distress	E	15	0	6	9
BDI	Burundi	SETTLED	rn	Kirundi	Ikirundi	Latn	French (fr)	Kirundi is near-universal L1.	ububabare	bodily pain	E	agahinda	sorrow	E	ubwoba bw'ibihe	fear of the seasons / weather	C	ukutamenya	the not-knowing	C	intimba	mourning, lament	E	ishavu	anger, vexation	E	ubukene	poverty, scarcity	E	ubuhunzi	refugeehood, flight	E	ihahamuka	trauma, startle-and-alertness after atrocity	E	irungu	solitude, loneliness	E	akabonge	a lasting sunken heaviness	E	ubwoba	fear	E	kudashobora	to be unable	F	isoni	shame	E	nta bubabare	no pain	F	15	0	2	11
CPV	Cabo Verde	OPEN	kea	Cape Verdean Creole	kabuverdianu	Latn	Portuguese (pt)	Creole is universally spoken; Portuguese is the written/official language.	dor	pain; ache; regret	E	tristeza	sadness	E		NO TERM FOUND	X	instabilidadi	instability	F	sodadi	longing	E	raiba	anger; rage	E	difikuldadi	difficulty; hardship in a broad sense	E		NO TERM FOUND	X		NO TERM FOUND	X	solidon	loneliness	F	dizisperu	despair	F	medu	fear	E	inpoténsia	powerlessness; impotence	P	kulpa	guilt; blame	F	sen dor	without pain	F	12	3	5	6
KHM	Cambodia	SETTLED	km	Khmer	ខ្មែរ	Khmr			ឈឺ	to hurt, to be in pain	E	ទុក្ខ	suffering, sorrow	E	ព្រួយបារម្ភអាកាសធាតុ	climate worry	C	ភាពមិនប្រាកដប្រជា	uncertainty	C	សោកសៅ	grief, sorrow	E	កំហឹង	anger	E	បាត់បង់	loss	E	ជនភៀសខ្លួន	refugee	E	បាក់ស្បាត	broken courage	E	ឯកោ	alone, lonely	E	ជំងឺបាក់ទឹកចិត្ត	depression (as an illness)	E	ភ័យ	fear, fright	E	អស់សង្ឃឹម	hopeless, in despair	E	ខ្មាសអៀន	ashamed, embarrassed	E	ធម្មតា	ordinary, usual, normal	E	15	0	0	13
CMR	Cameroon	OPEN	fr	French	français	Latn	English (en); Fang/Ewondo and 250+ others	Two official languages plus very high linguistic diversity.	douleur physique	physical pain	F	douleur émotionnelle	emotional pain	F	éco-anxiété	eco-anxiety	E	incertitude	uncertainty	F	deuil	bereavement / mourning / grief	E	indignation	indignation / moral outrage	E	précarité	precarity / insecurity	E	déracinement	uprooting	F	traumatisme	trauma	E	solitude	loneliness	E	dépression	depression	F	angoisse	anguish / fear / anxiety	E	sentiment d'impuissance	feeling of helplessness	F	honte	shame	E	absence de détresse	absence of distress	E	15	0	6	9
CAN	Canada	OPEN	en	English		Latn	French (fr)	Two official languages; ~75/22 split.	Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
CAF	Central African Republic	REVIEW	sg	Sango	Sängö	Latn	French (fr)	Sango is near-universal as a lingua franca and co-official.	finoo	physical pain	F	mawa	misfortune, sorrow, emotional distress	E		Eco-anxiety	X	kite	doubt; objection; expostulation	E	vundu	sorrow after misfortune; resentful grief	F	ngonzo	anger, fury, resentment	E	nzinga	poverty	F	kpe	flee; run away	F		Trauma	X	oko	one; only; alone	E	nze	be discouraged; give up	F	kpëngö mbeto	fear, reverential fear	E		Helplessness	X	kamela	shame	F	findo aeke pepe	pain is-not / there is no pain	F	12	3	7	5
TCD	Chad	OPEN	ar	Arabic	العربية	Arab	French (fr); Modern Standard Arabic (ar)	Arabic and French are both official. Variety: Chadian Arabic (shu) is the spoken lingua franca but is an unwritten vernacular.	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
CHL	Chile	SETTLED	es	Spanish	español	Latn			dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
CHN	China	SETTLED	zh	Chinese (Mandarin)	中文	Hans		Script: Simplified.	身体疼痛	bodily pain	F	内心痛苦	inner emotional suffering	F	气候焦虑	climate anxiety	E	不确定感	sense of uncertainty	E	哀痛	grief; sorrow	E	义愤	righteous indignation	E	生计忧虑	livelihood worry	E	流离失所	displaced; homeless; wandering without a home	E	不堪重负	unable to bear a heavy burden; overwhelmed	E	寂寞	lonely; lonesome	E	抑郁	depressed; gloomy; depression	E	焦虑	anxiety	E	无力感	feeling of powerlessness; also physical weakness	E	羞耻	shame	E	没有痛苦	no suffering/pain	F	15	0	3	12
COL	Colombia	SETTLED	es	Spanish	español	Latn			dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
COM	Comoros	REVIEW	zdj	Comorian (Shikomori)		Latn	French (fr); Arabic (ar)	Comorian is near-universal L1 and is itself official alongside Arabic and French. The code zdj denotes Ngazidja Comorian specifically; ISO 639-3 has no Comorian macrolanguage. CLDR trap: bare `zdj` does not resolve to Latin script, so downstream tags must be written `zdj-Latn` explicitly.	ndroso	pain	F	usikitifu	regret; emotional suffering	F		Eco-anxiety	X	wasiwasi	uncertainty, doubt	E	iɗa	mourning; bereavement	F	usiu	anger	F	umasikini	poverty; material hardship	F	utrazi	flight; fleeing	F		trauma, emotional shock	X	mdjikayo	isolation	F	umavu twamaya	despair; hopelessness	F	uhara	fear; dread	F		NO TERM FOUND	X	âiɓu	shame; dishonour	F		no pain, pain-free	X	11	4	10	1
CRI	Costa Rica	SETTLED	es	Spanish	español	Latn			dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
HRV	Croatia	SETTLED	hr	Croatian	hrvatski	Latn			bol	pain	E	bol	pain	E	klimatska anksioznost	climate anxiety	C	neizvjesnost	uncertainty	F	žalost	sorrow	E	ljutnja	anger	E	oskudica	scarcity	E	progonstvo	exile / banishment	E	trauma	trauma	E	osamljenost	loneliness	E	depresija	depression	E	strah	fear	E	bespomoćnost	helplessness	E	sram	shame	E	bez boli	without pain	F	15	0	2	12
CUB	Cuba	SETTLED	es	Spanish	español	Latn			dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
CYP	Cyprus	OPEN	el	Greek	Ελληνικά	Grek	Turkish (tr)	Both official; de facto territorial division.	σωματικός πόνος	physical/bodily pain	F	ψυχικός πόνος	psychological/emotional pain	F	άγχος για το κλίμα	anxiety/stress about the climate	E	αβεβαιότητα	uncertainty; precariousness	E	πένθος	mourning; grief; bereavement	E	αγανάκτηση	rage; outrage; indignation	E	οικονομική αγωνία	economic anguish/worry	E	εξορία	exile; banishment	E	ψυχική πίεση	mental/emotional pressure	E	μοναξιά	loneliness; solitude/seclusion	E	κατάθλιψη	depression	E	φόβος	fear	E	αίσθημα αδυναμίας	feeling of inability/weakness	E	ντροπή	shame	E	χωρίς δυσφορία	without discomfort/distress	E	15	0	2	13
CZE	Czechia	SETTLED	cs	Czech	čeština	Latn			bolest	pain	E	smutek	sadness; sorrow	E	úzkost	anxiety	E	nejistota	uncertainty	E	žal	grief	E	hněv	anger	E	nouze	distress	E	vyhnanství	exile	E	trauma	trauma	E	osamělost	loneliness	E	deprese	depression	E	strach	fear	E	bezmoc	helplessness / powerlessness	E	stud	shame	E	žádná bolest	no pain	F	15	0	1	14
CIV	Côte d'Ivoire	REVIEW	fr	French	français	Latn	Dioula (dyu)	French has unusually high urban L1 penetration here.	douleur physique	physical pain	F	douleur émotionnelle	emotional pain	F	éco-anxiété	eco-anxiety	E	incertitude	uncertainty	F	deuil	bereavement / mourning / grief	E	indignation	indignation / moral outrage	E	précarité	precarity / insecurity	E	déracinement	uprooting	F	traumatisme	trauma	E	solitude	loneliness	E	dépression	depression	F	angoisse	anguish / fear / anxiety	E	sentiment d'impuissance	feeling of helplessness	F	honte	shame	E	absence de détresse	absence of distress	E	15	0	6	9
COD	DR Congo	OPEN	fr	French	français	Latn	Lingala (ln); Swahili (sw); Kikongo (kg); Tshiluba (lua)	French official; four national languages with distinct regions.	douleur physique	physical pain	F	douleur émotionnelle	emotional pain	F	éco-anxiété	eco-anxiety	E	incertitude	uncertainty	F	deuil	bereavement / mourning / grief	E	indignation	indignation / moral outrage	E	précarité	precarity / insecurity	E	déracinement	uprooting	F	traumatisme	trauma	E	solitude	loneliness	E	dépression	depression	F	angoisse	anguish / fear / anxiety	E	sentiment d'impuissance	feeling of helplessness	F	honte	shame	E	absence de détresse	absence of distress	E	15	0	6	9
