iso3,anger_moral_injury,climate_fear_anxiety_panic,depression_suicidal_ideation,displacement_exile,emotional_pain_unspecified,general_fear_anxiety_panic,general_physical_pain,grief_solastalgia,helplessness_powerlessness,loss_precarity,no_pain,out_of_scope,relationship_social_pain,shame_guilt_self_blame,trauma_overwhelm,uncertainty_instability
COD,0.4066,0.3643,0.3622,0.7481,0.3542,0.7252,0.5349,0.4041,0.7768,0.4551,0.6798,0.1816,0.3664,0.3153,0.3901,0.3327
COG,0.4292,0.1656,0.3732,0.4455,0.6097,0.7793,0.6236,0.4944,0.6312,0.6993,0.5391,0.1229,0.8571,0.7053,0.3947,0.5958
COL,0.7917,0.4439,0.7696,0.7879,0.4552,0.4092,0.5225,0.6300,0.7471,0.3918,0.5627,0.3201,0.4003,0.7739,0.4699,0.2849
COM,0.4628,0.5805,0.5080,0.4375,0.4901,0.7950,0.5056,0.2541,0.4489,0.3655,0.6054,0.9650,0.7652,0.6387,0.2103,0.2356
CPV,0.5167,0.6507,0.5061,0.5424,0.2987,0.9327,0.2205,0.2640,0.0494,0.5013,1.0000,0.3342,0.2937,0.5423,0.7193,0.5167
CRI,0.5004,0.4640,0.3867,0.5977,0.5162,0.5347,0.2456,0.3294,0.6064,0.6494,0.7579,0.3690,0.4608,0.7872,0.6965,0.6576
CUB,0.2912,0.5068,0.5451,0.2974,0.2705,0.4688,0.2592,0.1843,0.5442,0.7289,0.5883,0.5201,0.2703,0.1449,0.4431,0.2521
CYP,0.5878,0.4277,0.2175,0.0269,0.2056,0.9872,1.0000,0.9379,0.6030,0.4092,1.0000,0.4794,0.5238,1.0000,0.7659,1.0000
CZE,0.5291,0.4451,0.8221,0.5806,0.6332,0.4258,0.5321,0.3553,0.5350,0.4323,0.7145,0.7819,0.6504,0.3181,0.7921,0.4972
DEU,0.3691,0.6514,0.5297,0.6295,0.3568,0.5415,0.6631,0.6405,0.5086,0.5343,0.5575,0.9553,0.4861,0.7561,0.8085,0.4767
DJI,0.5415,0.4415,0.6996,0.6396,0.5017,0.4206,1.0000,0.6110,0.7055,0.8543,0.5100,0.3873,0.3682,0.2010,0.2270,1.0000
DMA,0.3102,0.0809,0.6778,0.9180,0.2830,0.8243,1.0000,0.9404,0.9993,0.2796,0.7073,0.0653,0.4155,0.8031,0.0000,0.6326
DNK,0.4539,0.8425,0.0100,1.0000,0.6754,0.6222,0.7506,0.5443,0.4555,0.4210,0.2942,0.6725,0.9053,0.6947,0.6922,0.3852
DOM,0.2301,0.5712,0.4363,0.4667,0.2477,0.6530,0.3415,0.2724,0.5849,0.6717,0.6967,0.2312,0.4674,0.1384,0.4945,0.6023
DZA,0.9437,0.9816,0.4838,0.0951,0.6008,0.5295,0.6533,0.0796,0.7367,0.7684,0.7310,0.0668,0.3712,0.9878,0.2760,1.0000
ECU,0.6700,0.8605,0.6300,0.5609,1.0000,0.6720,0.8329,0.4130,1.0000,1.0000,1.0000,0.7975,0.4696,0.5428,0.4820,1.0000
EGY,0.3618,0.5637,0.5640,0.7762,0.6861,0.6211,0.4621,0.3410,0.4818,0.2409,0.5253,0.8795,0.5074,0.6314,0.5140,0.2370
ERI,0.2249,0.6660,0.5826,0.3383,0.3757,0.3034,0.8954,0.5654,1.0000,0.4740,0.6097,0.0628,0.5066,0.3326,0.7955,0.3542
ESP,0.6567,0.6414,0.4015,0.4143,0.2184,0.6064,0.8600,0.7834,0.1748,0.5626,0.3295,0.6996,0.7990,0.7925,0.7005,0.6882
EST,0.3705,0.4921,0.6301,0.4434,0.1509,0.0181,0.4103,0.1024,0.2545,0.1234,0.2946,0.3149,0.8370,0.5352,0.2113,0.3697
ETH,0.2000,0.6032,0.1651,0.1024,0.1149,0.1404,0.4628,0.1252,0.4926,0.2891,0.1485,0.8837,0.4310,0.0138,0.3424,0.1859
FIN,0.4371,0.6333,0.6423,0.6985,0.5962,0.1993,0.2528,0.5612,0.4869,0.0122,0.5325,0.3738,0.5343,0.5555,0.3917,0.2943
FJI,0.6853,0.5968,1.0000,0.5224,0.0000,0.2278,0.8335,0.6724,0.2736,0.6083,0.4750,0.3261,0.3650,0.1968,0.4431,0.1783
FRA,0.7346,0.4329,1.0000,0.3413,1.0000,1.0000,0.3003,0.0790,0.4344,0.0209,0.1904,0.7037,0.1990,0.3060,0.0176,0.0144
FSM,0.1271,0.2337,0.1159,0.2117,0.4168,0.0322,0.4777,0.0601,0.3837,0.1578,0.3279,0.0951,0.1473,0.4516,0.4776,0.9342
GAB,0.5340,0.7341,0.5026,0.6886,0.5516,0.6267,0.7292,0.2414,0.5948,0.5686,0.1930,0.7862,0.7935,0.3564,0.4397,0.7784
GBR,0.3680,0.6742,0.5351,0.7358,0.7966,0.5191,0.4763,0.5461,0.5003,0.3700,0.4674,0.8016,0.5091,0.5668,0.3871,0.8236
GEO,0.6252,0.6042,0.4903,0.2861,0.7484,0.4921,0.2411,0.2958,0.3480,0.2782,0.2874,0.0261,0.7266,0.5787,0.3382,0.2022
GHA,0.3181,0.6331,0.6589,0.9236,0.7620,0.5002,0.3619,0.5393,0.6333,0.3557,0.5286,0.3655,0.7791,0.5744,0.8370,0.5858
GIN,0.5546,0.9012,0.6055,0.1160,0.3729,0.3050,0.4046,0.6402,0.4092,0.3625,0.7560,0.6900,0.6645,0.3478,0.5662,0.8390
GMB,0.3450,0.3433,0.3140,0.2825,0.7582,0.7786,0.5548,0.0000,0.6801,0.3741,0.3913,0.0018,0.0300,0.2773,0.6850,0.2206
GNB,0.8915,0.5962,0.3342,0.0000,0.5565,0.3558,0.6399,0.7942,0.3228,0.7609,0.7940,0.0154,0.7430,0.4028,0.5124,0.3242
GNQ,0.2890,0.1902,0.7564,0.6193,0.8824,0.7770,0.5874,0.4178,0.6129,0.6151,0.1355,0.3479,0.3336,0.4861,0.6304,0.2831
GRC,0.7515,0.5924,0.6546,0.6173,0.6044,0.5761,0.6781,0.3822,0.3021,0.3885,0.6419,0.5736,0.5286,0.5403,0.4736,0.5485
GRD,0.3768,1.0000,0.5664,0.6417,0.4273,0.4623,0.6065,0.3595,0.1027,0.5194,0.7011,0.1839,0.5727,0.4287,0.4574,0.7223
GTM,0.2665,0.6615,0.2453,0.3044,0.3056,0.3763,0.2195,0.2187,0.1271,0.1220,0.6688,0.8006,0.7335,0.2933,0.4146,0.6825
GUY,0.1506,0.6449,1.0000,0.7977,0.2887,0.0431,0.5692,0.3608,1.0000,0.3555,0.7596,0.6587,1.0000,0.1025,1.0000,1.0000
HND,0.1015,0.4068,1.0000,1.0000,0.0299,0.1495,0.3309,0.7402,1.0000,0.5120,0.3575,0.6416,1.0000,0.4671,1.0000,0.4379
HRV,0.2788,0.5942,0.1037,1.0000,1.0000,0.3645,1.0000,0.5358,0.6051,0.1677,0.0295,0.4077,0.7338,1.0000,0.1414,0.1269
HTI,0.5189,0.6075,0.5996,0.3730,0.6984,0.2520,0.4229,0.3290,0.3383,0.7966,0.6702,0.9421,0.3730,0.4554,0.4518,0.5932
HUN,1.0000,1.0000,1.0000,1.0000,0.2926,0.4774,0.3235,0.8573,0.6542,0.1869,0.5318,0.6017,0.2054,0.8600,0.1450,0.8981
IDN,0.5299,0.5623,0.2960,0.4700,0.3348,0.6229,0.5748,0.2571,0.3421,0.5088,0.5015,0.1099,0.7680,0.2958,0.5600,0.3065
IND,0.2121,0.6186,0.3219,0.1142,0.9041,0.4806,0.3549,0.8758,0.7200,0.8702,0.2340,0.7876,0.6894,0.7137,0.6018,1.0000
IRL,0.6129,0.4446,0.5756,0.5978,0.7746,0.2873,0.4954,0.2051,0.3141,0.7197,0.5792,0.7804,0.6421,0.5422,0.5508,0.4380
IRN,0.2106,0.3265,0.4500,0.2046,0.4661,0.4699,0.8056,0.5242,0.3915,0.2281,0.2295,0.3006,0.5754,0.2508,0.1350,0.3869
IRQ,0.6407,0.2768,0.5593,0.6256,0.5506,0.5069,0.4609,0.5930,0.5391,1.0000,0.6770,0.9742,0.8032,0.5137,0.6916,0.5541
ISL,0.6374,0.4841,0.6779,0.7297,0.3390,0.4752,0.3825,0.3019,0.6108,0.5108,0.7162,0.5922,0.7216,0.1720,0.7614,0.5203
ISR,0.5026,0.1863,0.1825,0.8808,0.2599,0.2080,0.4885,0.8053,0.5543,0.3990,0.4259,0.2079,0.2828,0.8503,0.3795,0.6516
ITA,0.1404,0.4844,0.7015,0.6124,0.5816,0.3540,0.7987,0.6533,0.3422,0.4384,0.5327,0.4897,0.6332,0.5337,0.6168,0.7279
JAM,0.4744,0.3731,0.2803,0.1831,0.3942,0.2576,0.6221,0.5752,0.4859,0.1874,0.1857,0.0608,0.2427,0.2544,0.3660,0.4721
JOR,0.7317,0.5672,0.6449,0.4441,0.2297,0.5100,0.3161,0.3995,0.5784,0.4593,0.6949,0.5990,0.3672,0.7744,0.2692,0.5133
JPN,0.8420,0.9527,0.7493,0.6593,0.3910,0.4685,0.6671,0.0233,1.0000,0.2882,0.3564,0.1049,0.3891,0.2521,0.7215,0.3007
KAZ,0.5869,0.6610,0.3959,0.1518,0.0545,0.2452,0.1460,0.4375,0.5069,0.2747,0.8601,0.9361,0.4199,0.4760,0.0090,0.6948
KEN,0.5633,0.5146,0.4284,0.7787,0.5355,0.4209,0.3927,0.5584,0.2625,0.6401,0.4087,0.1095,0.8239,0.6758,0.5758,0.5112
KGZ,0.4024,0.7620,0.7015,0.6106,0.7415,0.5235,0.8191,0.3530,0.3799,0.3595,0.7121,0.5660,0.6816,0.2992,0.5806,0.7873
KHM,0.3653,0.6602,0.5265,0.7242,0.7006,0.2762,0.5817,0.0351,0.4318,0.3789,0.9071,0.9065,0.5288,0.5805,0.7424,0.7482
KIR,0.4593,0.5130,0.4013,0.6104,0.3940,0.4054,0.5278,0.6363,0.7413,0.1955,0.6936,0.6207,0.7196,0.4072,0.5448,0.3164
KNA,0.7490,0.2893,0.5360,0.2717,0.7552,0.4199,0.7784,0.4674,0.3706,0.6737,0.3015,0.8065,0.7100,0.7099,0.2611,0.2041
KOR,0.1658,0.3704,0.4297,0.4000,0.3686,0.7055,0.2343,0.4643,0.8722,0.5252,0.6656,0.1035,0.1780,0.3742,0.0415,0.6692
KWT,0.1290,0.3326,0.8399,0.8734,0.3596,0.3828,0.1755,0.4490,0.2093,0.5211,0.5409,0.1368,0.2163,0.1557,0.8483,0.5584
LAO,0.5183,0.5651,0.0799,0.0000,0.4199,0.4917,0.7371,0.3865,0.4907,0.2691,0.3324,0.2008,0.3664,0.8771,0.2242,0.2740
LBN,0.7637,0.6426,0.6269,0.5718,0.3378,0.2909,0.6025,0.7510,0.5707,0.4664,0.5668,0.3126,0.3275,0.2989,0.5968,0.7640
LBR,0.7809,0.8459,0.5505,0.5542,0.4542,0.3937,0.2767,0.6991,0.4405,0.7237,0.6445,0.2251,0.3447,0.2990,0.4774,0.3105
LBY,0.5719,0.3036,0.1067,0.2634,0.6670,0.3292,0.6972,0.0558,0.5181,0.2787,0.1898,0.8061,0.7187,0.6530,0.4509,0.5766
LCA,0.7321,0.7455,0.7871,0.7299,1.0000,0.8391,0.7586,1.0000,0.7497,0.3615,0.5318,0.7423,0.4820,0.2983,0.5283,0.6526
LIE,0.5268,0.0723,1.0000,0.1969,0.4582,0.2890,0.3594,1.0000,0.3692,1.0000,0.4673,0.9284,0.3362,0.1057,0.9329,0.3473
LKA,0.3587,0.7001,0.4172,0.4746,0.8057,0.6447,0.3437,0.2742,0.2207,0.5641,0.8081,0.3541,0.5353,0.6854,0.1663,0.6814
LSO,1.0000,0.7792,0.9166,1.0000,0.7550,0.0769,0.4300,0.3839,0.9897,0.2300,0.2394,0.9387,1.0000,0.0137,1.0000,0.3625
LTU,0.0928,0.4279,0.7011,0.6034,0.8116,0.1707,0.0701,0.7573,0.5151,0.2670,0.5914,0.6901,0.4946,0.3749,0.1983,0.1790
LUX,0.9176,0.7279,0.9586,0.7661,0.1164,0.5496,0.3414,0.3148,0.5326,0.3595,0.5079,0.8668,0.5843,0.8126,1.0000,1.0000
LVA,0.3164,0.5154,0.9998,0.6781,0.6217,0.3958,0.1979,0.6067,0.7287,1.0000,0.7238,0.3108,0.7301,0.3184,0.8480,0.0463
MAR,0.5499,0.3650,0.5793,0.8076,0.4179,0.1624,0.3206,0.1004,0.5881,0.3465,0.0673,0.7408,0.7160,0.4142,0.0218,0.6721
MCO,0.6480,0.3345,0.6267,0.4885,0.4038,0.7050,0.5641,0.4202,0.7328,0.4350,0.2030,0.0551,0.6198,0.4589,0.2931,0.3881
MDA,0.1985,0.0524,0.0574,0.4590,0.5893,0.1204,0.1632,0.3185,0.3331,0.2141,0.6609,0.5437,0.3278,0.2530,0.6391,0.5576
MDG,0.5123,0.9123,0.6776,0.6850,1.0000,0.8649,0.4358,0.3910,0.8505,0.1478,0.5542,0.9403,0.4404,0.5457,0.9304,0.0000
MDV,0.4795,0.2346,0.3659,0.4994,0.2010,0.5695,0.7503,0.7572,0.4879,0.3459,0.3544,0.3768,0.1856,0.2792,0.3707,0.4015
MEX,0.3968,0.6401,0.6414,0.6374,0.3379,0.6670,0.3618,0.2254,0.3593,0.2440,0.2109,0.5107,0.7451,0.4630,0.4166,0.5426
MHL,0.2229,0.5851,0.7445,0.7082,0.4569,0.7410,0.5572,0.4417,0.5792,0.5994,0.4152,0.6801,0.5735,0.3711,0.7247,0.6607
MKD,0.9086,0.3885,0.6958,0.2331,0.1116,1.0000,0.6701,0.5088,1.0000,1.0000,0.3492,0.4248,0.1806,0.3874,0.4403,0.8659
MLI,0.1209,0.6604,0.5955,0.4676,0.6703,0.2851,0.6536,0.3321,0.7243,0.6247,0.6706,0.4590,0.4442,0.6662,0.5832,0.2215
MLT,0.1032,0.5825,0.7144,0.1737,0.4274,0.2711,0.6064,0.4580,0.7313,0.3128,0.6350,0.0413,0.0544,0.4123,0.5745,0.6922
MMR,0.4152,0.6960,0.2361,0.6483,0.6097,0.2419,0.3120,0.6073,0.2565,0.5821,0.6360,0.8974,0.4767,0.5961,0.3524,0.3988
MNE,0.1314,0.4785,0.5982,0.3924,0.5534,0.7640,0.4964,0.4743,0.8165,0.4015,0.4926,0.1786,0.3416,0.5758,0.1267,0.3464
MNG,0.3979,0.2452,0.2447,0.5570,0.5128,0.4023,0.7092,0.6085,0.4294,0.5866,0.2928,0.2544,0.3521,0.6612,0.6034,0.4403
MOZ,0.3109,0.2889,0.3964,0.7757,0.2413,0.3987,0.6035,0.3202,0.6244,0.6504,0.7069,0.5559,0.7201,0.3290,0.8165,0.5969
MRT,0.6524,0.5194,0.6464,0.6292,0.4370,0.6282,0.3698,0.7352,0.3553,0.3419,0.5126,0.2085,0.6514,0.1781,0.7459,0.6137
MUS,0.3885,0.2472,0.1807,0.6247,0.1513,0.7961,0.5306,0.4474,0.3087,1.0000,0.1568,0.3770,0.5964,1.0000,0.4625,0.9616
MWI,0.9070,0.0530,0.3793,1.0000,0.3402,1.0000,1.0000,0.3328,1.0000,0.8811,0.0287,0.1879,0.0170,1.0000,0.0342,1.0000
MYS,0.3607,0.3993,0.4606,0.6872,0.3621,0.7041,0.2347,0.6071,0.7709,0.4822,0.4907,0.3835,0.7511,0.6902,0.2801,0.8191
NAM,0.5105,0.1584,0.5553,1.0000,0.9934,0.5526,0.5448,0.0821,0.0284,0.6996,0.8369,0.1616,0.1319,0.8023,0.0983,0.4691
NER,0.2530,0.8479,0.2024,0.5944,0.3515,0.5051,0.7087,0.4161,0.5821,0.9363,0.5363,0.5955,0.3901,0.4058,0.5746,0.2066
NGA,1.0000,0.1350,1.0000,0.1211,0.2295,0.3353,0.2460,0.1344,0.6221,0.2374,0.0925,0.2152,1.0000,1.0000,0.5397,0.9869
NIC,0.2157,0.1349,1.0000,0.1185,0.9419,1.0000,1.0000,0.0184,1.0000,0.1366,1.0000,0.5449,1.0000,0.1867,0.7502,0.7581
NLD,0.5768,0.4139,0.4721,0.3135,0.7274,0.8876,0.2567,1.0000,0.6289,0.3870,0.5687,0.1878,0.5267,0.4044,0.6254,0.6487
NOR,1.0000,0.1780,0.5881,0.5768,0.5490,0.1429,0.6037,0.7807,0.7927,0.1086,0.5862,0.9312,0.4818,0.3943,0.2968,0.6924
NPL,1.0000,0.0145,0.1258,0.3553,0.5687,1.0000,0.7439,0.0466,0.5473,0.3737,1.0000,0.6271,0.4828,0.5498,1.0000,0.4806
NRU,0.1523,0.2742,0.9406,0.7213,0.2581,0.0647,0.5662,0.3292,0.8127,0.2091,0.0809,0.6077,0.3971,0.4784,0.4669,0.6183
NZL,0.3788,0.4613,0.4259,0.6411,0.3186,0.3313,0.4442,0.7115,0.8102,0.5506,0.7772,0.5357,0.0929,0.2686,0.7083,0.3842
OMN,0.3552,0.2348,0.0528,0.8225,0.8935,0.8609,0.6633,0.1560,0.2821,0.6045,0.3147,0.4720,0.5687,0.3284,0.4405,0.4205
PAK,0.5266,0.4746,0.2925,0.1252,0.3661,0.0917,0.4951,0.2366,0.2384,0.2182,0.2026,0.6168,0.2984,0.1661,0.1574,0.1573
PAN,0.1633,0.6250,0.6388,0.0664,0.0671,0.1951,0.4723,0.5553,0.2169,0.8169,0.1798,0.2551,0.5034,0.5651,0.5925,0.2689
PER,0.1260,0.1469,0.1807,0.0346,0.0380,0.3775,1.0000,0.1053,1.0000,0.2763,0.0610,0.1018,1.0000,0.2930,0.5034,0.1991
PHL,0.4236,0.3491,0.5813,0.7091,0.5867,0.5203,0.8258,0.5590,0.3887,0.1908,0.3107,0.4558,0.2784,0.3508,0.1186,0.4766
PLW,0.9693,0.1386,0.3134,0.2444,0.0165,0.6452,0.0252,0.3478,0.6148,0.3464,0.4708,0.0131,0.5449,0.1845,0.5044,0.6725
PNG,0.5431,0.6099,0.4416,0.6328,0.6191,0.5768,0.6541,0.4686,0.6189,0.3261,0.4562,0.4878,0.5803,0.6499,0.4210,0.2000
POL,0.5746,0.6664,0.3803,0.6415,0.3376,0.2805,0.6530,0.2862,0.3173,0.5265,0.5247,0.6003,0.3802,0.4825,0.4092,0.5786
PRK,0.2637,0.3808,0.6739,0.7310,0.4923,0.7406,0.3946,0.4097,0.6521,0.8589,0.7085,0.4074,0.5367,0.7236,0.9271,0.8059
PRT,0.3614,0.2584,0.2918,0.0022,0.4404,0.6743,0.6591,0.1290,0.3186,0.6506,0.6677,0.0899,0.5989,0.6599,0.1238,0.6491
PRY,0.5344,0.0781,0.3157,0.6129,0.5199,0.8025,0.4772,0.6743,0.2475,0.1254,0.2335,0.2084,0.0352,0.0295,0.2994,0.7875
PSE,0.4926,0.5615,0.2294,0.5525,0.6348,0.5360,0.3820,0.4966,0.3199,0.3864,0.5354,0.3177,0.1733,0.4072,0.4246,0.0486
QAT,0.1005,0.5798,0.7017,0.6482,0.4705,0.4687,0.5406,0.4958,0.3466,0.4746,0.2339,0.4247,0.7951,0.5306,0.2964,0.2301
ROU,0.3551,0.2923,0.6125,0.3499,0.5597,0.0615,0.5269,0.5146,0.1271,0.1984,0.4372,0.2745,0.2274,0.4839,0.1380,0.5647
RUS,0.3452,0.6439,0.4019,0.5004,0.4845,0.6960,1.0000,0.2408,0.5409,0.9420,1.0000,0.5066,0.5284,1.0000,0.0000,0.4912
RWA,0.5486,0.3122,0.3415,0.8271,0.4363,0.3108,0.6519,0.6442,0.2761,0.8159,0.9319,0.6084,0.3667,0.2707,0.4059,0.2847
SAU,0.7784,0.7389,0.1017,0.7835,0.4092,0.5439,0.9468,0.4978,0.9848,0.3020,0.5633,0.8048,0.1502,0.1031,0.5226,1.0000
SDN,0.6682,0.6872,0.6063,0.4030,0.6766,0.8026,0.3838,0.3425,0.6233,0.5434,0.7295,0.5951,0.5257,0.3296,0.3368,0.4847
SEN,0.5783,0.2338,0.6693,0.4512,0.7186,0.4202,0.5747,0.6560,0.2443,0.6261,0.3715,0.0548,0.5741,0.5646,0.5505,0.7498
SGP,0.8667,0.0802,0.1784,1.0000,0.6304,0.2197,0.0866,0.6799,0.5425,1.0000,0.5727,0.2526,1.0000,1.0000,0.8684,0.8100
SLB,0.2153,0.2837,0.7360,0.1356,0.6115,0.5396,0.6745,0.5221,0.9072,0.2372,0.6737,0.8017,0.5549,0.8193,0.7287,0.7010
SLE,0.1066,0.5314,0.5933,1.0000,0.1828,0.5308,0.2582,0.4768,0.2704,0.8372,0.2676,0.1597,0.0888,1.0000,0.1931,0.6272
SLV,0.8524,0.4412,0.4510,0.6391,0.6167,0.5371,0.2672,0.2088,0.5094,0.7090,0.7962,0.7427,0.4492,0.5903,0.7024,0.4776
SMR,0.3490,1.0000,0.8879,0.2467,0.1799,0.1513,0.1257,0.5966,0.3316,0.6676,1.0000,0.6825,0.8166,0.3291,0.3522,0.4946
SOM,0.1976,0.2774,0.1296,0.0778,0.6909,0.6247,0.1193,0.2024,0.0138,0.2698,0.3497,0.4509,0.1328,0.5581,0.4657,0.3907
SRB,0.5466,0.8482,0.6008,0.3818,0.8395,0.4711,0.6077,0.2017,0.4087,0.7568,0.3541,0.2763,0.5002,0.2787,0.7735,0.5525
SSD,0.3640,0.9396,1.0000,0.1504,0.5109,0.2438,0.9678,0.3885,0.1260,1.0000,0.0942,0.5210,0.0284,0.2915,1.0000,1.0000
STP,0.3052,0.1208,1.0000,0.0885,1.0000,1.0000,1.0000,0.3195,0.7887,0.4701,1.0000,0.7864,0.7608,0.1061,0.1888,0.7680
SUR,0.6881,0.5745,0.5748,0.6843,0.7433,0.6272,0.5038,0.5848,0.3137,0.7322,0.6192,0.0993,0.5000,0.6871,0.5196,0.5969
